,ID,rownum,colnum,LAT,LON
2428,2428.0,48.0,28.0,38.32927930498106,112.61958224517569
2429,2429.0,48.0,29.0,38.329994371390555,112.72308241060769
2430,2430.0,48.0,30.0,38.33062006008507,112.82658445752286
2431,2431.0,48.0,31.0,38.33115636883014,112.9300881351121
2432,2432.0,48.0,32.0,38.33160329571053,113.03359319254264
2433,2433.0,48.0,33.0,38.33196083913017,113.1370993789616
2434,2434.0,48.0,34.0,38.33222899781218,113.24060644349967
2435,2435.0,48.0,35.0,38.33240777079889,113.34411413527481
2436,2436.0,48.0,36.0,38.33249715745182,113.44762220339585
2437,2437.0,48.0,37.0,38.33249715745182,113.55113039696613
2438,2438.0,48.0,38.0,38.33240777079889,113.65463846508717
2439,2439.0,48.0,39.0,38.33222899781218,113.75814615686232
2440,2440.0,48.0,40.0,38.33196083913017,113.8616532214004
2441,2441.0,48.0,41.0,38.33160329571053,113.96515940781934
2442,2442.0,48.0,42.0,38.33115636883014,114.06866446524988
2443,2443.0,48.0,43.0,38.33062006008507,114.17216814283914
2444,2444.0,48.0,44.0,38.329994371390555,114.27567018975431
2445,2445.0,48.0,45.0,38.32927930498106,114.37917035518629
2446,2446.0,48.0,46.0,38.32847486341014,114.48266838835337
2447,2447.0,48.0,47.0,38.32758104955053,114.58616403850482
2448,2448.0,48.0,48.0,38.32659786659407,114.68965705492455
2449,2449.0,48.0,49.0,38.325525318051675,114.79314718693475
2450,2450.0,49.0,0.0,38.35411839916198,109.71920119047306
2451,2451.0,49.0,1.0,38.35733731619338,109.82266059737931
2452,2452.0,49.0,2.0,38.360466951132786,109.92612891337234
2453,2453.0,49.0,3.0,38.3635072928094,110.02960588896222
2454,2454.0,49.0,4.0,38.36645833037044,110.13309127453331
2455,2455.0,49.0,5.0,38.369320053281555,110.23658482034796
2456,2456.0,49.0,6.0,38.37209245132662,110.34008627654995
2457,2457.0,49.0,7.0,38.374775514608054,110.44359539316827
2458,2458.0,49.0,8.0,38.377369233546716,110.54711192012054
2459,2459.0,49.0,9.0,38.37987359888204,110.6506356072168
2460,2460.0,49.0,10.0,38.382288601672236,110.75416620416294
2461,2461.0,49.0,11.0,38.384614233294094,110.8577034605645
2462,2462.0,49.0,12.0,38.38685048544332,110.96124712593013
2463,2463.0,49.0,13.0,38.388997350134424,111.06479694967535
2464,2464.0,49.0,14.0,38.3910548197009,111.16835268112605
2465,2465.0,49.0,15.0,38.39302288679512,111.27191406952225
2466,2466.0,49.0,16.0,38.394901544388595,111.37548086402161
2467,2467.0,49.0,17.0,38.39669078577196,111.47905281370313
2468,2468.0,49.0,18.0,38.39839060455487,111.58262966757084
2469,2469.0,49.0,19.0,38.40000099466634,111.68621117455733
2470,2470.0,49.0,20.0,38.401521950354564,111.78979708352746
2471,2471.0,49.0,21.0,38.40295346618695,111.89338714328204
2472,2472.0,49.0,22.0,38.40429553705041,111.99698110256138
2473,2473.0,49.0,23.0,38.40554815815113,112.10057871004905
2474,2474.0,49.0,24.0,38.4067113250147,112.20417971437546
2475,2475.0,49.0,25.0,38.40778503348623,112.30778386412156
2476,2476.0,49.0,26.0,38.40876927973024,112.41139090782245
2477,2477.0,49.0,27.0,38.409664060230845,112.51500059397108
2478,2478.0,49.0,28.0,38.41046937179165,112.61861267102192
2479,2479.0,49.0,29.0,38.41118521153582,112.72222688739461
2480,2480.0,49.0,30.0,38.41181157690612,112.82584299147756
2481,2481.0,49.0,31.0,38.41234846566496,112.92946073163172
2482,2482.0,49.0,32.0,38.41279587589431,113.03307985619418
2483,2483.0,49.0,33.0,38.41315380599584,113.13670011348187
2484,2484.0,49.0,34.0,38.41342225469088,113.24032125179515
2485,2485.0,49.0,35.0,38.41360122102038,113.34394301942166
2486,2486.0,49.0,36.0,38.413690704344944,113.44756516463973
2487,2487.0,49.0,37.0,38.413690704344944,113.55118743572226
2488,2488.0,49.0,38.0,38.41360122102038,113.65480958094034
2489,2489.0,49.0,39.0,38.41342225469088,113.75843134856683
2490,2490.0,49.0,40.0,38.41315380599584,113.86205248688013
2491,2491.0,49.0,41.0,38.41279587589431,113.9656727441678
2492,2492.0,49.0,42.0,38.41234846566496,114.06929186873026
2493,2493.0,49.0,43.0,38.41181157690612,114.17290960888444
2494,2494.0,49.0,44.0,38.41118521153582,114.27652571296737
2495,2495.0,49.0,45.0,38.41046937179165,114.38013992934006
2496,2496.0,49.0,46.0,38.409664060230845,114.48375200639092
2497,2497.0,49.0,47.0,38.40876927973024,114.58736169253955
2498,2498.0,49.0,48.0,38.40778503348623,114.69096873624045
2499,2499.0,49.0,49.0,38.4067113250147,114.79457288598653
2500,2500.0,50.0,0.0,38.43524582139588,109.71503492124334
2501,2501.0,50.0,1.0,38.43846821619154,109.81860811828628
2502,2502.0,50.0,2.0,38.44160123247936,109.92219025387709
2503,2503.0,50.0,3.0,38.44464485907244,110.02578107770408
2504,2504.0,50.0,4.0,38.44759908510271,110.12938033932916
2505,2505.0,50.0,5.0,38.450463900020644,110.2329877881915
2506,2506.0,50.0,6.0,38.453239293595665,110.33660317361111
2507,2507.0,50.0,7.0,38.45592525591602,110.44022624479254
2508,2508.0,50.0,8.0,38.45852177738892,110.5438567508284
2509,2509.0,50.0,9.0,38.461028848740625,110.64749444070304
2510,2510.0,50.0,10.0,38.46344646101653,110.7511390632962
2511,2511.0,50.0,11.0,38.4657746055812,110.85479036738658
2512,2512.0,50.0,12.0,38.46801327411845,110.95844810165559
2513,2513.0,50.0,13.0,38.470162458631435,111.06211201469092
2514,2514.0,50.0,14.0,38.47222215144263,111.16578185499014
2515,2515.0,50.0,15.0,38.474192345194034,111.26945737096449
2516,2516.0,50.0,16.0,38.476073032847104,111.3731383109424
2517,2517.0,50.0,17.0,38.47786420768281,111.47682442317321
2518,2518.0,50.0,18.0,38.47956586330186,111.58051545583083
2519,2519.0,50.0,19.0,38.48117799362446,111.68421115701739
2520,2520.0,50.0,20.0,38.482700592890595,111.78791127476691
2521,2521.0,50.0,21.0,38.48413365566008,111.89161555704895
2522,2522.0,50.0,22.0,38.48547717681238,111.99532375177232
2523,2523.0,50.0,23.0,38.48673115154684,112.0990356067887
2524,2524.0,50.0,24.0,38.487895575382765,112.20275086989638
2525,2525.0,50.0,25.0,38.48897044415924,112.30646928884383
2526,2526.0,50.0,26.0,38.48995575403542,112.41019061133355
2527,2527.0,50.0,27.0,38.490851501490276,112.51391458502553
2528,2528.0,50.0,28.0,38.4916576833229,112.61764095754116
2529,2529.0,50.0,29.0,38.49237429665239,112.72136947646668
2530,2530.0,50.0,30.0,38.49300133891783,112.82509988935708
2531,2531.0,50.0,31.0,38.493538807878416,112.92883194373968
2532,2532.0,50.0,32.0,38.49398670161345,113.03256538711776
2533,2533.0,50.0,33.0,38.49434501852223,113.13629996697436
2534,2534.0,50.0,34.0,38.49461375732431,113.24003543077593
2535,2535.0,50.0,35.0,38.49479291705924,113.34377152597598
2536,2536.0,50.0,36.0,38.49488249708677,113.44750800001881
2537,2537.0,50.0,37.0,38.49488249708677,113.55124460034317
2538,2538.0,50.0,38.0,38.49479291705924,113.654981074386
2539,2539.0,50.0,39.0,38.49461375732431,113.75871716958606
2540,2540.0,50.0,40.0,38.49434501852223,113.86245263338762
